PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
Desmond Bane,MEM,6,2,4,231,452,11,6,8,75.0,1,2,50.0,13,118.2,2,18.2,0,0.0,0,0.0,1,9.1
Devin Booker,PHX,7,4,3,301,509,10,3,5,60.0,0,0,0.0,7,70.0,4,40.0,0,0.0,1,10.0,0,0.0
Dewayne Dedmon,PHI,1,0,1,5,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dillon Brooks,MEM,6,2,4,167,223,5,0,2,0.0,0,0,0.0,0,0.0,3,60.0,1,20.0,0,0.0,0,0.0
Domantas Sabonis,SAC,7,3,4,243,523,76,19,39,48.7,7,10,70.0,46,60.5,23,30.3,5,6.6,4,5.3,4,5.3
Donovan Mitchell,CLE,5,1,4,207,347,1,0,0,0.0,1,2,50.0,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0
Donte DiVincenzo,GSW,8,4,4,131,265,6,0,2,0.0,0,0,0.0,0,0.0,3,50.0,1,16.7,1,16.7,0,0.0
Dorian Finney-Smith,BKN,4,0,4,101,115,7,0,0,0.0,0,0,0.0,0,0.0,7,100.0,0,0.0,0,0.0,0,0.0
Draymond Green,GSW,7,3,4,225,537,22,3,9,33.3,7,8,87.5,14,63.6,8,36.4,1,4.5,1,4.5,4,18.2
Duncan Robinson,MIA,7,5,2,134,163,3,1,1,100.0,0,0,0.0,2,66.7,0,0.0,0,0.0,2,66.7,0,0.0
Edmond Sumner,BKN,1,0,1,4,8,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Eric Gordon,LAC,5,1,4,149,176,2,2,2,100.0,0,0,0.0,4,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Evan Mobley,CLE,5,1,4,188,309,39,13,17,76.5,3,4,75.0,29,74.4,13,33.3,3,7.7,3,7.7,2,5.1
Furkan Korkmaz,PHI,2,1,1,7,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gabe Vincent,MIA,7,5,2,217,363,2,0,1,0.0,1,2,50.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0
Gary Payton II,GSW,7,3,4,109,144,23,10,13,76.9,1,2,50.0,21,91.3,6,26.1,2,8.7,2,8.7,1,4.3
Georges Niang,PHI,6,5,1,89,94,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giannis Antetokounmpo,MIL,3,0,3,91,205,20,10,12,83.3,1,2,50.0,21,105.0,4,20.0,0,0.0,2,10.0,1,5.0
Goran Dragic,MIL,2,1,1,7,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Grant Williams,BOS,5,3,2,69,67,3,0,0,0.0,2,2,100.0,2,66.7,2,66.7,1,33.3,0,0.0,1,33.3
Grayson Allen,MIL,5,1,4,149,182,5,2,2,100.0,0,0,0.0,4,80.0,3,60.0,1,20.0,0,0.0,0,0.0
Harrison Barnes,SAC,7,3,4,197,221,11,4,6,66.7,1,2,50.0,9,81.8,4,36.4,0,0.0,0,0.0,1,9.1
Haywood Highsmith,MIA,6,4,2,54,67,7,2,3,66.7,0,0,0.0,4,57.1,4,57.1,3,42.9,0,0.0,0,0.0
Immanuel Quickley,NYK,7,5,2,155,229,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Isaac Okoro,CLE,5,1,4,75,85,7,1,1,100.0,2,2,100.0,4,57.1,3,42.9,1,14.3,2,28.6,1,14.3
Isaiah Hartenstein,NYK,7,5,2,139,174,33,8,15,53.3,2,4,50.0,18,54.5,14,42.4,2,6.1,2,6.1,2,6.1
Ish Smith,DEN,2,2,0,7,18,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ish Wainright,PHX,4,1,3,15,12,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ivica Zubac,LAC,5,1,4,130,224,41,15,25,60.0,2,4,50.0,32,78.0,7,17.1,0,0.0,5,12.2,2,4.9
Ja Morant,MEM,5,1,4,187,387,9,3,4,75.0,0,0,0.0,7,77.8,5,55.6,0,0.0,0,0.0,0,0.0
JaMychal Green,GSW,4,1,3,23,25,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Jaden Springer,PHI,2,1,1,12,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jae Crowder,MIL,4,1,3,41,71,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Jalen Brunson,NYK,7,5,2,268,583,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
Jalen Johnson,ATL,6,2,4,56,105,4,0,2,0.0,0,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0
Jalen McDaniels,PHI,6,5,1,89,80,9,3,6,50.0,0,0,0.0,6,66.7,3,33.3,1,11.1,0,0.0,0,0.0
Jamal Murray,DEN,7,6,1,268,584,11,3,6,50.0,0,0,0.0,6,54.5,2,18.2,1,9.1,1,9.1,0,0.0
James Harden,PHI,6,5,1,216,497,4,1,3,33.3,2,2,100.0,4,100.0,0,0.0,0,0.0,0,0.0,1,25.0
Jaren Jackson Jr.,MEM,6,2,4,220,304,39,13,25,52.0,7,10,70.0,34,87.2,4,10.3,1,2.6,4,10.3,5,12.8
Jarred Vanderbilt,LAL,7,5,2,145,169,23,7,11,63.6,4,6,66.7,18,78.3,7,30.4,3,13.0,1,4.3,3,13.0
Jarrett Allen,CLE,5,1,4,191,168,40,18,26,69.2,2,4,50.0,38,95.0,11,27.5,5,12.5,0,0.0,2,5.0
Jason Preston,LAC,1,0,1,1,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jaylen Brown,BOS,8,5,3,299,441,19,9,13,69.2,0,0,0.0,19,100.0,4,21.1,0,0.0,1,5.3,0,0.0
Jaylen Nowell,MIN,5,1,4,62,105,4,0,3,0.0,0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
Jayson Tatum,BOS,8,5,3,300,577,21,8,16,50.0,2,2,100.0,18,85.7,1,4.8,0,0.0,2,9.5,1,4.8
Jeff Green,DEN,7,6,1,146,144,12,3,8,37.5,0,2,0.0,6,50.0,2,16.7,1,8.3,0,0.0,1,8.3
Jevon Carter,MIL,4,1,3,49,80,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jimmy Butler,MIA,6,5,1,230,450,37,15,19,78.9,2,2,100.0,33,89.2,11,29.7,3,8.1,2,5.4,1,2.7
Jock Landale,PHX,3,0,3,23,29,9,2,4,50.0,2,4,50.0,6,66.7,3,33.3,1,11.1,0,0.0,2,22.2
Joe Harris,BKN,4,0,4,44,53,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Joe Ingles,MIL,5,1,4,89,128,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Joel Embiid,PHI,4,3,1,134,249,14,5,7,71.4,6,6,100.0,16,114.3,1,7.1,0,0.0,2,14.3,3,21.4
John Collins,ATL,6,2,4,164,202,17,8,11,72.7,0,0,0.0,16,94.1,4,23.5,0,0.0,0,0.0,0,0.0
John Konchar,MEM,5,2,3,49,75,6,2,5,40.0,0,0,0.0,4,66.7,1,16.7,0,0.0,0,0.0,0,0.0
Jonathan Kuminga,GSW,6,3,3,36,63,3,2,3,66.7,0,0,0.0,5,166.7,0,0.0,0,0.0,0,0.0,0,0.0
Jordan McLaughlin,MIN,2,1,1,14,24,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jordan Poole,GSW,8,4,4,190,394,7,1,2,50.0,4,4,100.0,6,85.7,1,14.3,0,0.0,1,14.3,2,28.6
Josh Hart,NYK,7,5,2,251,335,16,8,9,88.9,0,0,0.0,16,100.0,6,37.5,1,6.3,1,6.3,0,0.0
Josh Minott,MIN,1,0,1,6,6,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Josh Okogie,PHX,7,4,3,141,128,20,5,8,62.5,2,2,100.0,13,65.0,10,50.0,3,15.0,1,5.0,1,5.0
Jrue Holiday,MIL,5,1,4,191,435,16,4,4,100.0,0,0,0.0,8,50.0,10,62.5,2,12.5,1,6.3,0,0.0
Julius Randle,NYK,6,5,1,181,318,13,3,6,50.0,4,4,100.0,10,76.9,3,23.1,1,7.7,1,7.7,2,15.4
Justin Champagnie,BOS,1,1,0,5,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Karl-Anthony Towns,MIN,5,1,4,180,307,10,4,7,57.1,3,4,75.0,13,130.0,1,10.0,0,0.0,0,0.0,2,20.0
Kawhi Leonard,LAC,2,1,1,80,134,9,1,4,25.0,2,2,100.0,4,44.4,3,33.3,1,11.1,1,11.1,1,11.1
Keegan Murray,SAC,7,3,4,194,189,17,3,7,42.9,2,2,100.0,8,47.1,6,35.3,1,5.9,2,11.8,1,5.9
Kenneth Lofton Jr.,MEM,4,2,2,12,21,4,1,2,50.0,1,2,50.0,3,75.0,1,25.0,1,25.0,0,0.0,1,25.0
Kentavious Caldwell-Pope,DEN,7,6,1,234,275,8,3,5,60.0,2,2,100.0,9,112.5,2,25.0,0,0.0,0,0.0,0,0.0
Kessler Edwards,SAC,6,2,4,7,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Kevin Durant,PHX,7,4,3,300,521,13,6,8,75.0,4,4,100.0,16,123.1,2,15.4,0,0.0,0,0.0,2,15.4
Kevin Huerter,SAC,7,3,4,183,240,5,1,2,50.0,4,4,100.0,6,120.0,0,0.0,0,0.0,1,20.0,2,40.0
Kevin Love,MIA,7,5,2,148,266,7,1,4,25.0,2,4,50.0,4,57.1,1,14.3,0,0.0,0,0.0,2,28.6
Kevon Looney,GSW,8,4,4,240,435,67,17,30,56.7,3,8,37.5,38,56.7,27,40.3,6,9.0,3,4.5,4,6.0
Khris Middleton,MIL,5,1,4,173,354,7,3,5,60.0,2,2,100.0,8,114.3,0,0.0,0,0.0,0,0.0,1,14.3
Klay Thompson,GSW,8,4,4,288,419,6,3,4,75.0,1,2,50.0,7,116.7,1,16.7,0,0.0,0,0.0,1,16.7
Kyle Anderson,MIN,4,1,3,104,210,10,3,4,75.0,2,2,100.0,8,80.0,5,50.0,1,10.0,0,0.0,1,10.0
Kyle Lowry,MIA,7,5,2,167,353,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0
Lamar Stevens,CLE,2,0,2,9,15,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Landry Shamet,PHX,6,4,2,69,71,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
LeBron James,LAL,7,5,2,263,499,29,15,21,71.4,7,10,70.0,38,131.0,3,10.3,2,6.9,0,0.0,4,13.8
Lonnie Walker IV,LAL,4,2,2,15,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Luke Kennard,MEM,5,2,3,107,113,3,2,3,66.7,0,0,0.0,4,133.3,0,0.0,0,0.0,0,0.0,0,0.0
Luke Kornet,BOS,2,2,0,6,9,3,3,3,100.0,0,0,0.0,6,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Malcolm Brogdon,BOS,8,5,3,214,327,11,4,6,66.7,2,2,100.0,10,90.9,3,27.3,0,0.0,0,0.0,1,9.1
Malik Beasley,LAL,6,4,2,66,63,3,1,1,100.0,2,2,100.0,4,133.3,0,0.0,0,0.0,1,33.3,1,33.3
Malik Monk,SAC,7,3,4,205,339,4,1,1,100.0,3,4,75.0,6,150.0,0,0.0,0,0.0,0,0.0,2,50.0
MarJon Beauchamp,MIL,2,1,1,5,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Marcus Morris Sr.,LAC,3,0,3,68,80,3,2,2,100.0,0,0,0.0,4,133.3,1,33.3,0,0.0,0,0.0,0,0.0
Marcus Smart,BOS,8,5,3,248,421,19,8,12,66.7,2,2,100.0,19,100.0,6,31.6,2,10.5,0,0.0,1,5.3
Mason Plumlee,LAC,5,1,4,91,111,32,10,12,83.3,7,8,87.5,30,93.8,15,46.9,7,21.9,1,3.1,4,12.5
Max Christie,LAL,4,2,2,12,18,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Max Strus,MIA,7,5,2,196,223,3,1,1,100.0,0,0,0.0,2,66.7,1,33.3,0,0.0,1,33.3,0,0.0
Meyers Leonard,MIL,2,1,1,5,6,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Michael Porter Jr.,DEN,7,6,1,234,265,10,5,7,71.4,0,0,0.0,10,100.0,3,30.0,0,0.0,0,0.0,0,0.0
Mikal Bridges,BKN,4,0,4,157,253,5,2,3,66.7,0,0,0.0,4,80.0,2,40.0,0,0.0,0,0.0,0,0.0
Mike Conley,MIN,5,1,4,183,400,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Mike Muscala,BOS,2,2,0,6,4,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Miles McBride,NYK,4,3,1,12,13,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Mitchell Robinson,NYK,7,5,2,196,196,58,22,33,66.7,6,20,30.0,51,87.9,11,19.0,2,3.4,3,5.2,9,15.5
Mo Bamba,LAL,3,2,1,10,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Montrezl Harrell,PHI,2,2,0,7,10,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Moses Moody,GSW,7,4,3,72,69,8,3,3,100.0,4,4,100.0,10,125.0,3,37.5,0,0.0,0,0.0,2,25.0
Nathan Knight,MIN,2,0,2,5,9,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nic Claxton,BKN,4,0,4,117,128,28,14,19,73.7,2,4,50.0,33,117.9,4,14.3,2,7.1,2,7.1,2,7.1
Nickeil Alexander-Walker,MIN,5,1,4,148,188,2,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0
Nicolas Batum,LAC,5,1,4,92,103,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Nikola Jokic,DEN,7,6,1,259,764,64,29,45,64.4,5,6,83.3,65,101.6,10,15.6,2,3.1,3,4.7,3,4.7
Norman Powell,LAC,5,1,4,167,194,4,2,3,66.7,0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Obi Toppin,NYK,7,5,2,128,188,11,7,9,77.8,2,2,100.0,17,154.5,1,9.1,0,0.0,0,0.0,1,9.1
Omer Yurtseven,MIA,1,1,0,3,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Onyeka Okongwu,ATL,6,2,4,131,148,33,13,19,68.4,2,6,33.3,29,87.9,7,21.2,1,3.0,2,6.1,3,9.1
P.J. Tucker,PHI,6,5,1,164,163,17,2,4,50.0,0,0,0.0,4,23.5,9,52.9,2,11.8,2,11.8,0,0.0
PJ Dozier,SAC,3,1,2,6,20,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Pat Connaughton,MIL,4,1,3,88,122,5,1,2,50.0,0,0,0.0,2,40.0,2,40.0,0,0.0,1,20.0,0,0.0
Patrick Baldwin Jr.,GSW,1,1,0,3,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Patty Mills,BKN,1,0,1,5,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Paul Reed,PHI,6,5,1,120,121,39,16,27,59.3,0,0,0.0,33,84.6,11,28.2,2,5.1,0,0.0,0,0.0
Payton Pritchard,BOS,3,3,0,12,28,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Peyton Watson,DEN,2,2,0,7,15,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Quentin Grimes,NYK,5,3,2,99,87,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
RJ Barrett,NYK,7,5,2,247,356,6,2,4,50.0,0,0,0.0,4,66.7,2,33.3,0,0.0,0,0.0,0,0.0
Raul Neto,CLE,2,1,1,7,12,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Reggie Jackson,DEN,2,2,0,7,8,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ricky Rubio,CLE,3,0,3,17,36,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Robert Covington,LAC,2,0,2,12,20,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Robert Williams III,BOS,8,5,3,178,217,42,25,28,89.3,3,4,75.0,54,128.6,11,26.2,3,7.1,1,2.4,2,4.8
Robin Lopez,CLE,2,1,1,6,6,3,2,2,100.0,2,2,100.0,6,200.0,0,0.0,0,0.0,0,0.0,1,33.3
Royce O'Neale,BKN,4,0,4,118,237,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Rudy Gobert,MIN,5,1,4,177,229,54,23,33,69.7,12,18,66.7,59,109.3,10,18.5,1,1.9,2,3.7,9,16.7
Rui Hachimura,LAL,7,5,2,165,195,13,7,10,70.0,2,2,100.0,16,123.1,1,7.7,0,0.0,0,0.0,1,7.7
Russell Westbrook,LAC,5,1,4,192,434,12,4,8,50.0,1,2,50.0,10,83.3,3,25.0,1,8.3,0,0.0,1,8.3
Saddiq Bey,ATL,6,2,4,133,124,5,0,2,0.0,1,2,50.0,1,20.0,0,0.0,0,0.0,0,0.0,2,40.0
Sam Hauser,BOS,8,5,3,76,77,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Santi Aldama,MEM,6,2,4,101,150,10,6,8,75.0,2,2,100.0,14,140.0,1,10.0,0,0.0,0,0.0,1,10.0
Seth Curry,BKN,3,0,3,58,73,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shake Milton,PHI,3,2,1,16,26,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shaquille Harrison,LAL,3,1,2,3,10,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Spencer Dinwiddie,BKN,4,0,4,159,345,1,0,0,0.0,1,2,50.0,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0
Stephen Curry,GSW,8,4,4,311,703,6,2,2,100.0,0,0,0.0,4,66.7,2,33.3,0,0.0,2,33.3,0,0.0
T.J. Warren,PHX,2,2,0,6,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Taurean Prince,MIN,5,1,4,100,115,6,1,3,33.3,3,4,75.0,5,83.3,1,16.7,1,16.7,0,0.0,2,33.3
Terance Mann,LAC,5,1,4,133,171,11,3,3,100.0,2,2,100.0,8,72.7,5,45.5,1,9.1,2,18.2,1,9.1
Terence Davis,SAC,4,2,2,58,74,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Terrence Ross,PHX,2,0,2,9,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
