PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Miles McBride,NYK,6,3,3,17,25,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Mitchell Robinson,NYK,9,5,4,243,243,10,1,1,100.0,1,2,50.0,3,30.0,6,60.0,1,16.7,2,20.0,1,10.0
Mo Bamba,LAL,3,2,1,10,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Montrezl Harrell,PHI,2,2,0,7,10,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moses Moody,GSW,10,5,5,137,137,2,1,1,100.0,0,0,0.0,3,150.0,1,50.0,0,0.0,0,0.0,0,0.0
Nathan Knight,MIN,2,0,2,5,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nic Claxton,BKN,4,0,4,117,128,6,2,2,100.0,0,0,0.0,4,66.7,4,66.7,1,25.0,0,0.0,0,0.0
Nickeil Alexander-Walker,MIN,5,1,4,148,188,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nicolas Batum,LAC,5,1,4,92,103,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Nikola Jokic,DEN,10,7,3,378,1103,91,19,39,48.7,12,12,100.0,50,54.9,36,39.6,11,30.6,2,2.2,5,5.5
Nikola Jovic,MIA,1,1,0,1,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Norman Powell,LAC,5,1,4,167,194,3,1,3,33.3,0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Obi Toppin,NYK,9,5,4,150,221,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Omer Yurtseven,MIA,2,2,0,4,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Onyeka Okongwu,ATL,6,2,4,131,148,9,2,4,50.0,0,0,0.0,4,44.4,3,33.3,0,0.0,0,0.0,0,0.0
P.J. Tucker,PHI,9,7,2,254,237,6,0,1,0.0,0,0,0.0,0,0.0,4,66.7,1,25.0,1,16.7,0,0.0
PJ Dozier,SAC,3,1,2,6,20,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pat Connaughton,MIL,4,1,3,88,122,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Patrick Baldwin Jr.,GSW,2,1,1,8,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Patty Mills,BKN,1,0,1,5,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Paul Reed,PHI,9,7,2,142,139,13,7,8,87.5,0,0,0.0,14,107.7,5,38.5,0,0.0,0,0.0,0,0.0
Payton Pritchard,BOS,4,3,1,22,41,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Peyton Watson,DEN,3,3,0,11,22,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Quentin Grimes,NYK,7,3,4,162,142,1,1,1,100.0,0,0,0.0,3,300.0,0,0.0,0,0.0,0,0.0,0,0.0
RJ Barrett,NYK,9,5,4,307,465,5,1,1,100.0,0,0,0.0,2,40.0,4,80.0,2,50.0,0,0.0,0,0.0
Raul Neto,CLE,2,1,1,7,12,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Reggie Jackson,DEN,3,3,0,11,14,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ricky Rubio,CLE,3,0,3,17,36,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Robert Covington,LAC,2,0,2,12,20,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Robert Williams III,BOS,11,6,5,227,271,3,0,0,0.0,2,2,100.0,2,66.7,2,66.7,0,0.0,0,0.0,1,33.3
Robin Lopez,CLE,2,1,1,6,6,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Royce O'Neale,BKN,4,0,4,118,237,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Rudy Gobert,MIN,5,1,4,177,229,23,2,8,25.0,8,12,66.7,12,52.2,6,26.1,1,16.7,3,13.0,6,26.1
Rui Hachimura,LAL,10,7,3,217,258,9,4,7,57.1,1,2,50.0,9,100.0,1,11.1,0,0.0,0,0.0,1,11.1
Russell Westbrook,LAC,5,1,4,192,434,5,0,2,0.0,2,2,100.0,2,40.0,1,20.0,0,0.0,1,20.0,1,20.0
Saddiq Bey,ATL,6,2,4,133,124,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sam Hauser,BOS,9,5,4,80,80,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Santi Aldama,MEM,6,2,4,101,150,4,0,0,0.0,0,0,0.0,0,0.0,4,100.0,2,50.0,0,0.0,0,0.0
Seth Curry,BKN,3,0,3,58,73,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shake Milton,PHI,4,3,1,16,27,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shaquille Harrison,LAL,5,2,3,20,39,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Spencer Dinwiddie,BKN,4,0,4,159,345,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stephen Curry,GSW,11,5,6,415,939,7,1,2,50.0,0,0,0.0,2,28.6,2,28.6,0,0.0,2,28.6,0,0.0
T.J. Warren,PHX,5,4,1,65,43,2,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Taurean Prince,MIN,5,1,4,100,115,1,0,0,0.0,2,2,100.0,2,200.0,0,0.0,0,0.0,0,0.0,1,100.0
Terance Mann,LAC,5,1,4,133,171,4,2,2,100.0,0,0,0.0,4,100.0,2,50.0,0,0.0,0,0.0,0,0.0
Terence Davis,SAC,4,2,2,58,74,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
