player,seasons,poss,rapm,period_rank,overallrank,id
Dirk Nowitzki,1999-03,60009,4.14,7,108,32838
Draymond Green,2016-20,70674,4.14,7,109,32839
Kobe Bryant,2005-09,76804,4.13,6,110,32840
Ray Allen,1999-03,57001,4.12,8,111,32841
Baron Davis,2003-07,46241,4.12,4,112,32842
Draymond Green,2014-18,75173,4.12,8,113,32843
David Robinson,1998-02,51219,4.12,4,114,32844
Rasheed Wallace,2002-06,66613,4.10,5,115,32845
Manu Ginobili,2011-15,44624,4.09,5,116,32846
Jimmy Butler,2016-20,59035,4.09,8,117,32847
Draymond Green,2012-16,49880,4.08,6,118,32848
Steve Nash,2006-10,67869,4.07,6,119,32849
Amir Johnson,2009-13,30347,4.06,4,120,32850
Andrei Kirilenko,2002-06,43781,4.05,6,121,32851
Nikola Jokic,2017-21,59427,4.05,6,122,32852
Manu Ginobili,2007-11,51124,4.04,5,123,32853
Kawhi Leonard,2017-21,51386,4.04,7,124,32854
Paul Pierce,2003-07,59555,4.04,5,125,32855
LeBron James,2003-07,59430,4.02,6,126,32856
Steve Nash,2005-09,68080,4.01,7,127,32857
Kobe Bryant,2004-08,74142,4.00,5,128,32858
Reggie Miller,1997-01,54817,4.00,7,129,32859
Kevin Garnett,1998-02,59826,4.00,5,130,32860
Paul Pierce,2001-05,70297,4.00,8,131,32861
Manu Ginobili,2010-14,48244,3.99,4,132,32862
Jayson Tatum,2016-20,41988,3.99,9,133,32863
Baron Davis,2004-08,50984,3.99,6,134,32864
Dirk Nowitzki,2002-06,78353,3.97,7,135,32865
Kawhi Leonard,2013-17,59975,3.97,8,136,32866
Chris Paul,2005-09,46422,3.97,8,137,32867
Russell Westbrook,2012-16,63735,3.96,7,138,32868
Dwight Howard,2008-12,67116,3.96,6,139,32869
Paul George,2017-21,62329,3.95,8,140,32870
Jimmy Butler,2017-21,57522,3.95,9,141,32871
Paul Pierce,2002-06,70341,3.95,8,142,32872
Rasheed Wallace,1998-02,58032,3.95,6,143,32873
Dirk Nowitzki,2003-07,76727,3.94,7,144,32874
Chris Paul,2008-12,57080,3.93,7,145,32875
Vince Carter,1998-02,42872,3.93,7,146,32876
Tim Duncan,2007-11,61857,3.92,6,147,32877
Damian Lillard,2017-21,64572,3.91,10,148,32878
Ray Allen,2000-04,57944,3.90,7,149,32879
Baron Davis,2001-05,55937,3.90,9,150,32880
Dwyane Wade,2009-13,69743,3.89,5,151,32881
James Harden,2016-20,73840,3.88,10,152,32882
Manu Ginobili,2006-10,50237,3.87,7,153,32883
Kevin Durant,2012-16,70495,3.87,8,154,32884
Kevin Durant,2010-14,82286,3.85,5,155,32885
John Stockton,2001-05,30247,3.84,10,156,32886
Russell Westbrook,2014-18,64144,3.84,9,157,32887
Kawhi Leonard,2016-20,52748,3.83,11,158,32888
Kawhi Leonard,2015-19,50870,3.83,10,159,32889
Kevin Durant,2016-20,60312,3.82,12,160,32890
Jrue Holiday,2015-19,46715,3.82,11,161,32891
Baron Davis,2002-06,48925,3.81,9,162,32892
Jimmy Butler,2014-18,56954,3.81,10,163,32893
Kevin Durant,2017-21,52885,3.80,11,164,32894
Vince Carter,1999-03,48363,3.79,9,165,32895
Paul Pierce,2000-04,66852,3.79,8,166,32896
Vince Carter,2006-10,63703,3.79,8,167,32897
Jrue Holiday,2017-21,58322,3.76,12,168,32898
Manu Ginobili,2008-12,44968,3.76,8,169,32899
Vince Carter,2000-04,52001,3.75,9,170,32900
Shaquille O'Neal,2004-08,53250,3.74,7,171,32901
Manu Ginobili,2000-04,20885,3.74,10,172,32902
Jrue Holiday,2016-20,50337,3.74,13,173,32903
Kevin Garnett,2011-15,41417,3.74,6,174,32904
Andrei Kirilenko,2001-05,34383,3.73,11,175,32905
Jayson Tatum,2015-19,27217,3.72,12,176,32906
Mike Conley,2015-19,38014,3.71,13,177,32907
Dwyane Wade,2003-07,53798,3.70,8,178,32908
Kevin Durant,2015-19,64004,3.70,14,179,32909
Ray Allen,1998-02,58606,3.70,8,180,32910
James Harden,2017-21,68697,3.69,13,181,32911
Dwyane Wade,2004-08,61282,3.69,8,182,32912
Stephen Curry,2010-14,53914,3.64,6,183,32913
Vince Carter,2010-14,43801,3.64,7,184,32914
Chris Paul,2007-11,54745,3.62,7,185,32915
Dwyane Wade,2007-11,58348,3.62,8,186,32916
Shaquille O'Neal,2003-07,58724,3.62,9,187,32917
Ricky Rubio,2012-16,34617,3.61,9,188,32918
Metta World Peace,2005-09,42111,3.61,9,189,32919
Steve Francis,2001-05,56474,3.60,12,190,32920
Chris Paul,2009-13,52882,3.60,6,191,32921
Rasheed Wallace,1997-01,47552,3.60,8,192,32922
Dirk Nowitzki,2012-16,47964,3.60,10,193,32923
James Harden,2013-17,73888,3.59,9,194,32924
Kevin Garnett,2010-14,51387,3.58,8,195,32925
Kevin Durant,2013-17,67312,3.58,10,196,32926
Ray Allen,2002-06,53552,3.57,10,197,32927
Jayson Tatum,2014-18,14815,3.57,11,198,32928
James Harden,2008-12,32269,3.56,9,199,32929
Rudy Gobert,2017-21,57770,3.56,14,200,32930
Mike Conley,2013-17,52538,3.56,11,201,32931
Jayson Tatum,2017-21,52725,3.55,15,202,32932
Michael Jordan,1998-02,24474,3.55,9,203,32933
Mike Conley,2014-18,39718,3.53,12,204,32934
Mike Conley,2017-21,35368,3.53,16,205,32935
Ray Allen,1997-01,49309,3.53,9,206,32936
Dirk Nowitzki,1998-02,42410,3.52,10,207,32937
Dikembe Mutombo,1998-02,57584,3.52,11,208,32938
Paul Pierce,2004-08,62967,3.51,9,209,32939
Damian Lillard,2014-18,66462,3.50,13,210,32940
Tim Duncan,2012-16,54978,3.50,11,211,32941
Kyle Lowry,2011-15,46945,3.49,7,212,32942
Robert Covington,2014-18,36898,3.48,14,213,32943
Metta World Peace,2004-08,43475,3.48,10,214,32944
Dirk Nowitzki,2006-10,69984,3.48,9,215,32945
Chris Bosh,2006-10,53076,3.47,10,216,32946
Manu Ginobili,2012-16,39898,3.47,12,217,32947
Kobe Bryant,2003-07,71862,3.47,10,218,32948
Dirk Nowitzki,2004-08,70953,3.47,11,219,32949
Paul Pierce,2005-09,65335,3.46,10,220,32950
Baron Davis,2007-11,50241,3.46,9,221,32951
Nene,2009-13,46506,3.46,7,222,32952
Damian Lillard,2016-20,66965,3.45,14,223,32953
Vlade Divac,1999-03,55631,3.44,10,224,32954
Reggie Miller,1998-02,67175,3.44,12,225,32955
Paul Pierce,1999-03,59712,3.44,11,226,32956
Dirk Nowitzki,2005-09,72574,3.44,11,227,32957
Paul George,2016-20,62552,3.44,15,228,32958
Kevin Garnett,1997-01,47935,3.44,10,229,32959
Manu Ginobili,1999-03,10483,3.43,12,230,32960
Rasheed Wallace,2003-07,67854,3.42,11,231,32961
Dwyane Wade,2002-06,45202,3.42,11,232,32962
Shawn Marion,2001-05,68341,3.41,13,233,32963
Paul George,2013-17,59222,3.40,12,234,32964
Tracy McGrady,2002-06,56024,3.40,12,235,32965
Andrew Bogut,2008-12,32570,3.40,10,236,32966
Steve Nash,2004-08,69845,3.40,12,237,32967
Josh Howard,2005-09,56351,3.39,12,238,32968
Kobe Bryant,2007-11,82565,3.39,10,239,32969
Metta World Peace,2002-06,42654,3.39,13,240,32970
James Harden,2012-16,70615,3.39,13,241,32971
LeBron James,2002-06,41170,3.39,14,242,32972
Kevin Durant,2014-18,67707,3.38,15,243,32973
LaMarcus Aldridge,2009-13,55758,3.38,8,244,32974
Vlade Divac,1998-02,52469,3.37,13,245,32975
LaMarcus Aldridge,2010-14,56606,3.37,9,246,32976
Eddie Jones,1999-03,45398,3.36,13,247,32977
Dwight Howard,2007-11,71944,3.35,11,248,32978
Steve Nash,2009-13,48750,3.35,9,249,32979
Chris Paul,2006-10,52861,3.34,11,250,32980
Josh Howard,2002-06,32163,3.34,15,251,32981
Ray Allen,2003-07,52712,3.33,12,252,32982
Metta World Peace,2003-07,45630,3.33,13,253,32983
Andrei Kirilenko,2004-08,48076,3.33,13,254,32984
Dirk Nowitzki,1997-01,28562,3.32,11,255,32985
Kyle Lowry,2010-14,43028,3.32,10,256,32986
Paul Millsap,2013-17,58985,3.32,13,257,32987
Andrew Bogut,2009-13,27860,3.31,10,258,32988
Kemba Walker,2016-20,58930,3.31,16,259,32989
Tracy McGrady,2001-05,62800,3.31,14,260,32990
Baron Davis,2006-10,51603,3.29,12,261,32991
Kyle Lowry,2017-21,58513,3.28,17,262,32992
Joel Embiid,2014-18,13122,3.28,16,263,32993
Dwight Howard,2006-10,70077,3.26,13,264,32994
Kevin Durant,2011-15,71615,3.26,8,265,32995
Paul George,2012-16,57342,3.25,14,266,32996
Russell Westbrook,2008-12,53542,3.24,11,267,32997
Tim Duncan,2008-12,56099,3.24,12,268,32998
Kemba Walker,2017-21,51951,3.24,18,269,32999
Giannis Antetokounmpo,2016-20,61853,3.24,17,270,33000
Robert Covington,2015-19,41736,3.24,15,271,33001
Andrei Kirilenko,2000-04,29481,3.24,11,272,33002
Russell Westbrook,2015-19,65636,3.23,16,273,33003
Tim Duncan,2011-15,57308,3.23,9,274,33004
Manu Ginobili,2013-17,41272,3.23,14,275,33005
Ricky Rubio,2013-17,38785,3.22,15,276,33006
Damian Lillard,2013-17,66332,3.22,16,277,33007
Draymond Green,2017-21,60312,3.21,19,278,33008
Chauncey Billups,2005-09,74280,3.21,13,279,33009
Ricky Rubio,2011-15,25458,3.21,10,280,33010
Dikembe Mutombo,1997-01,48570,3.21,12,281,33011
Yao Ming,2006-10,34584,3.19,14,282,33012
Baron Davis,2005-09,47860,3.19,14,283,33013
David Robinson,2000-04,41197,3.19,12,284,33014
Shawn Marion,2002-06,75628,3.19,16,285,33015
LaMarcus Aldridge,2011-15,55844,3.18,11,286,33016
Rasheed Wallace,2004-08,68751,3.18,14,287,33017
Eddie Jones,2000-04,52949,3.17,13,288,33018
Kobe Bryant,2001-05,76224,3.16,15,289,33019
Amir Johnson,2010-14,36754,3.16,11,290,33020
Tim Duncan,2009-13,54950,3.16,11,291,33021
Jimmy Butler,2013-17,58616,3.15,17,292,33022
Chris Paul,2004-08,33952,3.15,15,293,33023
Jason Kidd,1999-03,68839,3.15,14,294,33024
Chauncey Billups,2006-10,68368,3.15,15,295,33025
Damian Lillard,2015-19,68243,3.14,17,296,33026
Stephen Curry,2009-13,40240,3.14,12,297,33027
Tim Duncan,2010-14,58694,3.14,12,298,33028
Rudy Gobert,2016-20,53031,3.14,18,299,33029
Eddie Jones,2001-05,56157,3.14,16,300,33030
Kobe Bryant,2002-06,75312,3.13,17,301,33031
Vince Carter,2005-09,63592,3.13,15,302,33032
Paul Pierce,1998-02,45260,3.13,14,303,33033
Nick Collison,2010-14,37429,3.12,13,304,33034
Ricky Rubio,2014-18,42607,3.12,17,305,33035
Jason Kidd,2002-06,73538,3.12,18,306,33036
Dwight Howard,2011-15,52689,3.12,12,307,33037
Arvydas Sabonis,2000-04,19667,3.11,14,308,33038
Steve Nash,2003-07,73512,3.11,14,309,33039
Kevin Garnett,2012-16,32843,3.11,15,310,33040
Shawn Marion,2003-07,79510,3.11,15,311,33041
Rashard Lewis,2001-05,54214,3.11,17,312,33042
Arvydas Sabonis,1998-02,31921,3.11,15,313,33043
Grant Hill,1998-02,31898,3.11,16,314,33044
Mike Conley,2011-15,60208,3.11,13,315,33045
Manu Ginobili,2009-13,41927,3.10,13,316,33046
Damian Lillard,2011-15,40008,3.09,14,317,33047
Vlade Divac,1997-01,39790,3.09,13,318,33048
Brad Miller,2004-08,51164,3.08,16,319,33049
Draymond Green,2011-15,31124,3.07,15,320,33050
Lamar Odom,2005-09,65387,3.07,16,321,33051
LaMarcus Aldridge,2008-12,54856,3.07,13,322,33052
Mike Conley,2016-20,34562,3.06,19,323,33053
Khris Middleton,2012-16,33374,3.06,16,324,33054
Vince Carter,2007-11,57456,3.06,12,325,33055
Damian Lillard,2010-14,27118,3.05,14,326,33056
Russell Westbrook,2011-15,63046,3.05,16,327,33057
James Harden,2011-15,68957,3.04,17,328,33058
Anderson Varejao,2010-14,26992,3.04,15,329,33059
Alonzo Mourning,1997-01,33441,3.04,14,330,33060
Amir Johnson,2008-12,24890,3.04,14,331,33061
Andrei Kirilenko,2003-07,46113,3.04,16,332,33062
Vince Carter,2001-05,51268,3.03,18,333,33063
Josh Howard,2003-07,43101,3.03,17,334,33064
Damian Lillard,2012-16,54232,3.03,17,335,33065
Otto Porter Jr.,2017-21,35636,3.03,20,336,33066
Kyle Korver,2011-15,48963,3.03,18,337,33067
Gary Payton,1997-01,52319,3.03,15,338,33068
Vince Carter,2011-15,37353,3.02,19,339,33069
Amir Johnson,2007-11,19664,3.02,13,340,33070
Arvydas Sabonis,1999-03,27172,3.02,15,341,33071
Jason Kidd,2001-05,72180,3.02,19,342,33072
Paul George,2015-19,53151,3.02,18,343,33073
Vince Carter,2009-13,45698,3.01,14,344,33074
Arvydas Sabonis,1997-01,32553,3.01,16,345,33075
Paul Millsap,2011-15,53028,3.01,20,346,33076
CJ McCollum,2013-17,33990,3.01,18,347,33077
Baron Davis,2000-04,56220,3.00,15,348,33078
Rashard Lewis,2005-09,65132,2.99,17,349,33079
Andrew Bogut,2007-11,39761,2.99,14,350,33080
Shawn Bradley,1997-01,26432,2.99,17,351,33081
CJ McCollum,2012-16,21625,2.98,18,352,33082
Ben Wallace,2000-04,64588,2.98,16,353,33083
LaMarcus Aldridge,2007-11,52498,2.98,15,354,33084
Eric Bledsoe,2012-16,30780,2.98,19,355,33085
Metta World Peace,2006-10,57256,2.98,16,356,33086
Steve Francis,2000-04,55464,2.98,17,357,33087
Karl Malone,1997-01,57269,2.97,18,358,33088
Kobe Bryant,1999-03,75594,2.97,16,359,33089
Tim Duncan,2015-19,17961,2.97,19,360,33090
Josh Howard,2004-08,54585,2.97,17,361,33091
Robert Covington,2013-17,24209,2.97,19,362,33092
Anthony Davis,2017-21,54007,2.97,21,363,33093
Mike Conley,2010-14,59839,2.96,16,364,33094
Anthony Parker,2003-07,11018,2.96,18,365,33095
Danny Green,2008-12,8808,2.96,15,366,33096
Blake Griffin,2010-14,49658,2.96,17,367,33097
Tracy McGrady,2003-07,55216,2.95,19,368,33098
Terry Porter,2000-04,20729,2.94,18,369,33099
Tim Duncan,2013-17,45327,2.94,20,370,33100
Jrue Holiday,2014-18,40960,2.94,18,371,33101
Jason Kidd,2003-07,70191,2.94,20,372,33102
Ben Gordon,2003-07,33815,2.93,21,373,33103
Lamar Odom,2007-11,68999,2.93,16,374,33104
Steve Francis,1999-03,43145,2.93,17,375,33105
Danny Green,2011-15,42677,2.93,21,376,33106
Mike Conley,2009-13,58118,2.92,15,377,33107
Dirk Nowitzki,2013-17,44531,2.92,21,378,33108
Manu Ginobili,2014-18,37579,2.92,19,379,33109
Khris Middleton,2015-19,55620,2.92,20,380,33110
Luol Deng,2007-11,58263,2.92,17,381,33111
Josh Howard,2006-10,47215,2.91,17,382,33112
Mike Conley,2012-16,52270,2.91,20,383,33113
Grant Hill,1997-01,31083,2.91,19,384,33114
David Robinson,2001-05,30742,2.91,20,385,33115
Gary Payton,1998-02,61723,2.90,17,386,33116
Jason Kidd,2005-09,65882,2.90,18,387,33117
Karl-Anthony Towns,2017-21,47225,2.90,22,388,33118
Russell Westbrook,2009-13,65202,2.90,16,389,33119
Lamar Odom,2006-10,71624,2.89,18,390,33120
Lamar Odom,2009-13,52193,2.89,17,391,33121
Chris Bosh,2005-09,54901,2.89,19,392,33122
Bo Outlaw,2000-04,39868,2.89,19,393,33123
Lamar Odom,2008-12,62814,2.89,16,394,33124
Kristaps Porzingis,2016-20,30942,2.88,20,395,33125
Dwight Howard,2009-13,63468,2.88,18,396,33126
Jason Kidd,2004-08,64745,2.88,18,397,33127
Toni Kukoc,1998-02,38164,2.88,18,398,33128
Paul Millsap,2009-13,48902,2.87,19,399,33129
Chauncey Billups,2007-11,62356,2.87,18,400,33130
Vince Carter,2004-08,62671,2.87,19,401,33131
Yao Ming,2009-13,12177,2.87,20,402,33132
Nene,2008-12,41445,2.87,17,403,33133
Shane Battier,2002-06,47844,2.87,19,404,33134
Kyle Korver,2013-17,56490,2.86,22,405,33135
Kobe Bryant,2008-12,80644,2.86,18,406,33136
Shawn Bradley,1998-02,29412,2.86,19,407,33137
Vlade Divac,2000-04,57978,2.85,20,408,33138
Tim Duncan,2014-18,32004,2.85,20,409,33139
John Wall,2012-16,54762,2.84,21,410,33140
Luol Deng,2011-15,56523,2.84,22,411,33141
Derrick White,2015-19,9036,2.83,21,412,33142
Shane Battier,2001-05,36872,2.82,21,413,33143
Blake Griffin,2009-13,34546,2.82,21,414,33144
Jason Kidd,1998-02,63297,2.82,20,415,33145
Jason Kidd,2000-04,73129,2.82,21,416,33146
Blake Griffin,2017-21,37253,2.81,23,417,33147
Devin Booker,2017-21,55185,2.81,24,418,33148
Paul Millsap,2012-16,56718,2.81,22,419,33149
Andrew Bogut,2006-10,41383,2.81,19,420,33150
Clyde Drexler,1997-01,14509,2.80,20,421,33151
Ben Wallace,1998-02,39762,2.80,21,422,33152
LaMarcus Aldridge,2006-10,39138,2.80,20,423,33153
Brad Miller,2005-09,47824,2.80,20,424,33154
Steve Francis,1998-02,30943,2.79,22,425,33155
Yao Ming,2005-09,45266,2.79,21,426,33156
Dwight Howard,2010-14,57328,2.79,18,427,33157
Dwyane Wade,2010-14,67900,2.79,19,428,33158
Yao Ming,2008-12,19762,2.79,19,429,33159
Pau Gasol,2000-04,31113,2.79,22,430,33160
Khris Middleton,2013-17,38484,2.78,23,431,33161
Vince Carter,2012-16,34109,2.78,23,432,33162
LaMarcus Aldridge,2005-09,27046,2.78,22,433,33163
Otto Porter Jr.,2016-20,42363,2.78,21,434,33164
James Harden,2009-13,46089,2.78,22,435,33165
Jameer Nelson,2009-13,41453,2.77,23,436,33166
Tony Parker,2009-13,55701,2.77,24,437,33167
Ben Wallace,2001-05,73464,2.76,22,438,33168
Kobe Bryant,2000-04,81961,2.76,23,439,33169
Andrew Bogut,2010-14,30670,2.76,20,440,33170
Dirk Nowitzki,2014-18,45642,2.76,21,441,33171
John Wall,2013-17,61116,2.76,24,442,33172
Russell Westbrook,2010-14,66254,2.76,21,443,33173
Paul Millsap,2015-19,54129,2.75,22,444,33174
George Hill,2012-16,52627,2.74,24,445,33175
Rudy Gobert,2014-18,39388,2.74,22,446,33176
Anderson Varejao,2009-13,31630,2.73,25,447,33177
Nene,2017-21,13057,2.73,25,448,33178
Shawn Marion,2004-08,73608,2.73,20,449,33179
LaMarcus Aldridge,2012-16,53682,2.72,25,450,33180
Kristaps Porzingis,2015-19,22635,2.72,23,451,33181
Steve Nash,2002-06,73036,2.72,20,452,33182
Blake Griffin,2008-12,23631,2.72,20,453,33183
Andrei Kirilenko,2005-09,45642,2.72,23,454,33184
Marc Gasol,2009-13,57603,2.72,26,455,33185
Nene,2000-04,18484,2.72,24,456,33186
George Hill,2013-17,53254,2.72,25,457,33187
Ben Wallace,1997-01,26167,2.71,21,458,33188
Joe Johnson,2009-13,62159,2.71,27,459,33189
Grant Hill,1999-03,24479,2.71,18,460,33190
Josh Smith,2008-12,60571,2.71,21,461,33191
Andre Miller,1998-02,29853,2.71,23,462,33192
Victor Oladipo,2016-20,39848,2.71,22,463,33193
Baron Davis,1999-03,44431,2.70,19,464,33194
Patrick Beverley,2016-20,38812,2.70,23,465,33195
Yao Ming,2007-11,27810,2.70,19,466,33196
Tracy McGrady,2004-08,52873,2.69,21,467,33197
Marc Gasol,2008-12,43007,2.69,22,468,33198
Kenyon Martin,2002-06,58444,2.69,21,469,33199
Toni Kukoc,1997-01,35376,2.68,22,470,33200
Carmelo Anthony,2012-16,47518,2.68,26,471,33201
Bo Outlaw,1999-03,37036,2.68,20,472,33202
Reggie Miller,2000-04,63859,2.67,25,473,33203
Russell Westbrook,2007-11,38690,2.67,20,474,33204
Anthony Davis,2015-19,52222,2.67,24,475,33205
Nick Collison,2009-13,37835,2.66,28,476,33206
Luol Deng,2008-12,52874,2.66,23,477,33207
Tyson Chandler,2004-08,44127,2.66,22,478,33208
Paul Pierce,2006-10,67979,2.65,21,479,33209
George Hill,2015-19,44245,2.65,25,480,33210
Luol Deng,2010-14,59146,2.65,22,481,33211
Danny Green,2012-16,52176,2.65,27,482,33212
Kentavious Caldwell-Pope,2012-16,28363,2.65,28,483,33213
Vince Carter,2008-12,48742,2.65,24,484,33214
Paul George,2010-14,49608,2.65,23,485,33215
Kyle Korver,2014-18,56778,2.65,23,486,33216
Patty Mills,2012-16,24462,2.65,29,487,33217
Robert Horry,1997-01,37384,2.64,23,488,33218
Ekpe Udoh,2008-12,8899,2.64,25,489,33219
Ben Wallace,2002-06,77705,2.64,22,490,33220
Chauncey Billups,2008-12,50906,2.64,26,491,33221
Antawn Jamison,2005-09,64160,2.64,24,492,33222
Brian Cardinal,2002-06,13609,2.63,23,493,33223
Vince Carter,2003-07,56964,2.63,22,494,33224
Kevin Love,2010-14,39303,2.62,24,495,33225
Paul Pierce,2007-11,69118,2.62,21,496,33226
Robert Covington,2017-21,49343,2.62,26,497,33227
Shane Battier,2005-09,58003,2.62,25,498,33228
Grant Hill,2000-04,17001,2.62,26,499,33229
Eric Bledsoe,2013-17,36717,2.61,26,500,33230
Mike Dunleavy,2011-15,41807,2.61,23,501,33231
Joe Johnson,2008-12,65002,2.61,27,502,33232
Danny Green,2010-14,32634,2.61,25,503,33233
Paul Millsap,2014-18,54674,2.61,24,504,33234
Baron Davis,1998-02,36123,2.61,24,505,33235
Patrick Beverley,2010-14,12714,2.60,26,506,33236
Tony Parker,2008-12,54967,2.60,28,507,33237
Scot Pollard,1999-03,24967,2.60,21,508,33238
Kemba Walker,2015-19,54907,2.60,26,509,33239
Dikembe Mutombo,1999-03,49457,2.60,22,510,33240
Nikola Mirotic,2014-18,30841,2.60,25,511,33241
Eddie Jones,1998-02,53434,2.60,25,512,33242
Paul George,2011-15,49949,2.59,24,513,33243
