PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,year,PLAYER_ID,TEAM_ID
Martell Webster,WAS,27.0,F-G,77,77,100.0,264,594,44.4,44.0,0.4,2014,,
Iman Shumpert,NYK,24.0,G-F,74,74,100.0,275,586,46.9,44.7,2.2,2014,,
Patrick Patterson,TOR,25.0,F,64,64,100.0,263,583,45.1,46.5,-1.4,2014,,
Chris Paul,LAC,29.0,G,62,62,100.0,261,582,44.8,44.9,-0.1,2014,,
Elton Brand,ATL,35.0,F,71,71,100.0,281,581,48.4,46.6,1.7,2014,,
Marco Belinelli,SAS,28.0,G,80,80,100.0,273,581,47.0,44.7,2.3,2014,,
Michael Kidd-Gilchrist,CHA,20.0,F,61,61,100.0,258,579,44.6,45.6,-1.0,2014,,
Mo Williams,POR,31.0,G,74,74,100.0,269,575,46.8,43.2,3.6,2014,,
JR Smith,NYK,28.0,G-F,74,74,100.0,271,572,47.4,44.6,2.8,2014,,
Ian Mahinmi,IND,27.0,C,77,77,100.0,243,571,42.6,46.3,-3.7,2014,,
Mirza Teletovic,BKN,28.0,F,68,68,100.0,252,568,44.4,44.9,-0.5,2014,,
Courtney Lee,MEM,28.0,G,79,79,100.0,240,565,42.5,44.4,-1.9,2014,,
Tim Hardaway Jr.,NYK,22.0,G,81,81,100.0,272,559,48.7,43.8,4.9,2014,,
Avery Bradley,BOS,23.0,G,60,60,100.0,261,558,46.8,44.1,2.7,2014,,
Derrick Williams,SAC,23.0,F,75,75,100.0,261,557,46.9,44.9,1.9,2014,,
Chris Andersen,MIA,35.0,F-C,72,72,100.0,244,556,43.9,46.8,-2.9,2014,,
Trevor Booker,WAS,26.0,F,71,71,100.0,254,554,45.8,46.2,-0.4,2014,,
Mason Plumlee,BKN,24.0,F-C,68,68,100.0,271,553,49.0,46.4,2.6,2014,,
Tayshaun Prince,MEM,34.0,F,76,76,100.0,248,552,44.9,45.7,-0.8,2014,,
Ray Allen,MIA,38.0,G,73,73,100.0,279,550,50.7,44.1,6.6,2014,,
Ersan Ilyasova,MIL,27.0,F,54,54,100.0,293,549,53.4,46.5,6.9,2014,,
Kosta Koufos,MEM,25.0,C,79,79,100.0,248,548,45.3,48.1,-2.8,2014,,
Amar'e Stoudemire,NYK,31.0,F-C,64,64,100.0,258,548,47.1,46.5,0.5,2014,,
Ty Lawson,DEN,26.0,G,62,62,100.0,262,548,47.8,43.8,4.0,2014,,
Hollis Thompson,PHI,23.0,G-F,75,75,100.0,258,547,47.2,44.3,2.9,2014,,
Kevin Martin,MIN,31.0,G,68,68,100.0,244,544,44.9,44.3,0.6,2014,,
Rodney Stuckey,DET,28.0,G,73,73,100.0,261,543,48.1,44.0,4.1,2014,,
Robert Sacre,LAL,25.0,C,64,64,100.0,269,542,49.6,46.8,2.8,2014,,
Steven Adams,OKC,20.0,C,78,78,100.0,250,535,46.7,47.7,-0.9,2014,,
D.J. Augustin,CHI,26.0,G,68,68,100.0,232,533,43.5,42.6,0.9,2014,,
Cody Zeller,CHA,21.0,C-F,80,80,100.0,236,533,44.3,45.9,-1.6,2014,,
Aaron Brooks,DEN,29.0,G,69,69,100.0,245,530,46.2,43.6,2.6,2014,,
Jamal Crawford,LAC,34.0,G,69,69,100.0,216,514,42.0,44.4,-2.4,2014,,
Jeremy Lamb,OKC,22.0,G,75,75,100.0,227,511,44.4,43.4,1.1,2014,,
Patrick Beverley,HOU,25.0,G,56,56,100.0,228,511,44.6,44.2,0.4,2014,,
Tiago Splitter,SAS,29.0,C,59,59,100.0,213,508,41.9,47.2,-5.3,2014,,
Thabo Sefolosha,OKC,30.0,G,60,60,100.0,214,507,42.2,44.9,-2.7,2014,,
Shelvin Mack,ATL,24.0,G,71,71,100.0,224,504,44.4,43.5,0.9,2014,,
Kyle O'Quinn,ORL,24.0,F,65,65,100.0,219,502,43.6,46.1,-2.5,2014,,
Nick Young,LAL,29.0,F-G,64,64,100.0,223,502,44.4,44.7,-0.3,2014,,
Brian Roberts,NOP,28.0,G,72,72,100.0,217,502,43.2,44.2,-1.0,2014,,
Greivis Vasquez,TOR,27.0,G,78,78,100.0,212,499,42.5,43.6,-1.1,2014,,
Zaza Pachulia,MIL,30.0,C,52,52,100.0,260,497,52.3,47.3,5.0,2014,,
Steve Blake,GSW,34.0,G,55,55,100.0,221,494,44.7,43.6,1.2,2014,,
Jerryd Bayless,BOS,25.0,G,72,72,100.0,242,494,49.0,44.1,4.9,2014,,
Andrew Nicholson,ORL,24.0,F,73,73,100.0,238,493,48.3,46.0,2.3,2014,,
Darrell Arthur,DEN,26.0,F,68,68,100.0,213,493,43.2,45.8,-2.6,2014,,
Luis Scola,IND,34.0,F,81,81,100.0,211,489,43.1,46.2,-3.0,2014,,
Andrea Bargnani,NYK,28.0,C-F,42,42,100.0,243,485,50.1,46.7,3.4,2014,,
Mike Miller,MEM,34.0,F,82,82,100.0,228,476,47.9,44.0,3.9,2014,,
Omri Casspi,HOU,26.0,F,70,70,100.0,204,475,42.9,45.0,-2.1,2014,,
Nick Collison,OKC,33.0,F-C,80,80,100.0,210,473,44.4,46.7,-2.3,2014,,
Mike Scott,ATL,25.0,F,79,79,100.0,225,473,47.6,44.8,2.7,2014,,
Jordan Crawford,GSW,25.0,G,79,79,100.0,190,471,40.3,43.2,-2.9,2014,,
John Salmons,TOR,34.0,F-G,77,77,100.0,202,471,42.9,44.5,-1.7,2014,,
Kendrick Perkins,OKC,29.0,C,62,62,100.0,196,465,42.2,47.5,-5.4,2014,,
DeJuan Blair,DAL,25.0,C-F,75,75,100.0,232,462,50.2,47.3,2.9,2014,,
Evan Fournier,DEN,21.0,G,73,73,100.0,221,462,47.8,44.0,3.8,2014,,
Patty Mills,SAS,25.0,G,81,81,100.0,185,458,40.4,42.8,-2.4,2014,,
E'Twaun Moore,ORL,25.0,G,79,79,100.0,200,458,43.7,43.6,0.0,2014,,
Alan Anderson,BKN,31.0,F-G,76,76,100.0,204,454,44.9,44.2,0.7,2014,,
Norris Cole,MIA,25.0,G,82,82,100.0,207,454,45.6,43.6,2.0,2014,,
Eric Bledsoe,PHX,24.0,G,43,43,100.0,188,453,41.5,44.2,-2.7,2014,,
Matthew Dellavedova,CLE,23.0,G,67,67,100.0,204,448,45.5,43.4,2.2,2014,,
Tony Wroten,PHI,21.0,G,70,70,100.0,193,447,43.2,43.6,-0.4,2014,,
Tyler Zeller,CLE,24.0,C-F,69,69,100.0,194,443,43.8,46.2,-2.4,2014,,
Dwyane Wade,MIA,32.0,G,54,54,100.0,188,443,42.4,44.5,-2.1,2014,,
Lavoy Allen,IND,25.0,F-C,58,58,100.0,210,436,48.2,45.2,3.0,2014,,
Greg Stiemsma,NOP,28.0,C,55,55,100.0,218,431,50.6,47.4,3.2,2014,,
Omer Asik,HOU,27.0,C,48,48,100.0,195,430,45.3,47.8,-2.5,2014,,
Kentavious Caldwell-Pope,DET,21.0,G,77,77,100.0,195,430,45.3,43.2,2.2,2014,,
Anthony Tolliver,CHA,29.0,F,61,61,100.0,186,422,44.1,45.6,-1.6,2014,,
Kendall Marshall,LAL,22.0,G,54,54,100.0,203,422,48.1,43.8,4.3,2014,,
Nate Wolters,MIL,23.0,G,54,54,100.0,190,420,45.2,43.3,1.9,2014,,
Rashard Lewis,MIA,34.0,F,58,58,100.0,196,419,46.8,44.7,2.0,2014,,
Gorgui Dieng,MIN,24.0,C,57,57,100.0,202,417,48.4,46.9,1.6,2014,,
J.J. Barea,MIN,30.0,G,79,79,100.0,194,416,46.6,42.5,4.1,2014,,
Marcus Thornton,BKN,27.0,G,71,71,100.0,192,415,46.3,43.9,2.4,2014,,
Donatas Motiejunas,HOU,23.0,F-C,60,60,100.0,189,413,45.8,45.8,0.0,2014,,
Bismack Biyombo,CHA,21.0,C-F,74,74,100.0,168,410,41.0,46.3,-5.3,2014,,
Jeremy Evans,UTA,26.0,F,64,64,100.0,193,408,47.3,46.2,1.1,2014,,
Derek Fisher,OKC,39.0,G,80,80,100.0,187,405,46.2,43.5,2.7,2014,,
Caron Butler,OKC,34.0,F,55,55,100.0,184,401,45.9,44.5,1.4,2014,,
Travis Outlaw,SAC,29.0,F,59,59,100.0,183,400,45.8,44.5,1.2,2014,,
Eric Gordon,NOP,25.0,G,64,64,100.0,197,399,49.4,44.6,4.7,2014,,
Jeff Ayres,SAS,27.0,C-F,71,71,100.0,192,395,48.6,46.1,2.5,2014,,
Manu Ginobili,SAS,36.0,G,67,67,100.0,172,392,43.9,44.1,-0.2,2014,,
Jeff Adrien,MIL,28.0,F,52,52,100.0,205,391,52.4,46.2,6.3,2014,,
Kevin Garnett,BKN,38.0,C-F,53,53,100.0,176,390,45.1,47.2,-2.0,2014,,
Lou Williams,ATL,27.0,G,59,59,100.0,183,389,47.0,43.5,3.6,2014,,
Brandan Wright,DAL,26.0,F,58,58,100.0,190,389,48.8,46.6,2.2,2014,,
Jason Smith,NOP,28.0,C-F,31,31,100.0,198,386,51.3,47.2,4.1,2014,,
Jermaine O'Neal,GSW,35.0,C-F,43,43,100.0,162,386,42.0,47.9,-5.9,2014,,
Anthony Morrow,NOP,28.0,G,75,75,100.0,177,383,46.2,43.4,2.8,2014,,
Chris Kaman,LAL,32.0,C,39,39,100.0,147,383,38.4,47.3,-8.9,2014,,
Jrue Holiday,NOP,24.0,G,34,34,100.0,168,382,44.0,43.6,0.3,2014,,
Marreese Speights,GSW,26.0,F-C,75,75,100.0,183,381,48.0,46.7,1.3,2014,,
James Johnson,MEM,27.0,F,50,50,100.0,161,378,42.6,44.7,-2.1,2014,,
Dorell Wright,POR,28.0,F,67,67,100.0,174,375,46.4,45.4,1.0,2014,,
Henry Sims,PHI,24.0,C,40,40,100.0,166,372,44.6,46.9,-2.3,2014,,
Ekpe Udoh,MIL,27.0,F-C,41,41,100.0,175,370,47.3,45.7,1.6,2014,,
Ed Davis,MEM,25.0,F,61,61,100.0,158,370,42.7,46.3,-3.6,2014,,
Austin Rivers,NOP,21.0,G,66,66,100.0,164,369,44.4,43.8,0.7,2014,,
Al Horford,ATL,28.0,C-F,29,29,100.0,155,368,42.1,47.0,-4.8,2014,,
Francisco Garcia,HOU,32.0,G-F,54,54,100.0,160,365,43.8,44.8,-0.9,2014,,
Alexis Ajinca,NOP,26.0,C,56,56,100.0,183,359,51.0,47.9,3.1,2014,,
Pablo Prigioni,NYK,37.0,G,66,66,100.0,169,358,47.2,43.5,3.7,2014,,
Gerald Wallace,BOS,31.0,F,57,57,100.0,167,358,46.6,44.6,2.0,2014,,
C.J. Watson,IND,30.0,G,63,63,100.0,142,356,39.9,42.8,-2.9,2014,,
Jae Crowder,DAL,23.0,F,74,74,100.0,146,356,41.0,44.3,-3.3,2014,,
O.J. Mayo,MIL,26.0,G,51,51,100.0,138,352,39.2,43.7,-4.5,2014,,
Michael Beasley,MIA,25.0,F,52,52,100.0,156,351,44.4,45.2,-0.7,2014,,
Pero Antic,ATL,31.0,C,46,46,100.0,177,350,50.6,46.9,3.6,2014,,
Ish Smith,PHX,25.0,G,66,66,100.0,153,348,44.0,42.7,1.3,2014,,
Cory Joseph,SAS,22.0,G,57,57,100.0,157,343,45.8,43.1,2.7,2014,,
Quincy Acy,SAC,23.0,F,61,61,100.0,150,341,44.0,46.5,-2.5,2014,,
Luc Mbah a Moute,MIN,27.0,F,62,62,100.0,168,339,49.6,45.1,4.4,2014,,
Phil Pressey,BOS,23.0,G,74,74,100.0,153,338,45.3,42.7,2.6,2014,,
Nick Calathes,MEM,25.0,G,68,68,100.0,118,338,34.9,43.0,-8.1,2014,,
Joel Freeland,POR,27.0,C-F,52,52,100.0,153,333,45.9,46.3,-0.3,2014,,
Reggie Evans,SAC,34.0,F,53,53,100.0,179,330,54.2,47.2,7.1,2014,,
Tony Allen,MEM,32.0,G,55,55,100.0,124,328,37.8,44.3,-6.5,2014,,
Luke Ridnour,CHA,33.0,G,60,60,100.0,166,327,50.8,43.1,7.7,2014,,
Diante Garrett,UTA,25.0,G,68,68,100.0,139,324,42.9,43.6,-0.7,2014,,
Jan Vesely,DEN,24.0,F,52,52,100.0,144,317,45.4,45.6,-0.2,2014,,
Tony Snell,CHI,22.0,G,64,64,100.0,148,314,47.1,44.2,2.9,2014,,
JJ Redick,LAC,30.0,G,35,35,100.0,145,313,46.3,44.1,2.2,2014,,
Alonzo Gee,CLE,27.0,F,60,60,100.0,145,313,46.3,43.8,2.5,2014,,
Ray McCallum,SAC,23.0,G,38,38,100.0,129,310,41.6,44.1,-2.5,2014,,
Russell Westbrook,OKC,25.0,G,45,45,100.0,144,309,46.6,44.9,1.7,2014,,
Tyler Hansbrough,TOR,28.0,F-C,61,61,100.0,151,309,48.9,46.3,2.6,2014,,
Quincy Miller,DEN,21.0,F,48,48,100.0,131,306,42.8,45.2,-2.4,2014,,
CJ Miles,CLE,27.0,G,50,50,100.0,139,303,45.9,44.1,1.8,2014,,
Earl Clark,NYK,26.0,F,52,52,100.0,142,300,47.3,45.0,2.3,2014,,
Shawne Williams,LAL,28.0,F,34,34,100.0,140,299,46.8,45.6,1.3,2014,,
Gary Neal,CHA,29.0,G,49,49,100.0,143,298,48.0,43.6,4.4,2014,,
